time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 00:00:00,140.826,140.827,140.809,140.818,11,97,0
2024-01-02 00:05:00,140.823,140.85,140.823,140.839,6,51,0
2024-01-02 00:10:00,140.853,140.862,140.835,140.846,26,47,0
2024-01-02 00:15:00,140.847,140.858,140.835,140.847,19,51,0
2024-01-02 00:20:00,140.846,140.866,140.843,140.865,53,41,0
2024-01-02 00:25:00,140.863,140.931,140.853,140.882,51,46,0
2024-01-02 00:30:00,140.885,140.899,140.885,140.893,17,80,0
2024-01-02 00:35:00,140.899,140.963,140.863,140.868,42,41,0
2024-01-02 00:40:00,140.866,140.878,140.865,140.873,29,76,0
2024-01-02 00:45:00,140.876,140.881,140.865,140.873,35,75,0
2024-01-02 00:50:00,140.866,140.873,140.866,140.872,16,75,0
2024-01-02 00:55:00,140.873,140.878,140.857,140.866,64,63,0
2024-01-02 01:00:00,140.864,140.893,140.846,140.866,162,24,0
2024-01-02 01:05:00,140.866,140.87,140.81,140.812,145,19,0
2024-01-02 01:10:00,140.812,140.816,140.799,140.812,179,28,0
2024-01-02 01:15:00,140.812,140.885,140.808,140.872,187,24,0
2024-01-02 01:20:00,140.871,140.888,140.851,140.888,225,26,0
2024-01-02 01:25:00,140.888,140.928,140.883,140.927,241,21,0
2024-01-02 01:30:00,140.927,140.946,140.911,140.923,148,22,0
2024-01-02 01:35:00,140.918,140.934,140.889,140.93,175,25,0
2024-01-02 01:40:00,140.93,140.963,140.929,140.957,112,25,0
2024-01-02 01:45:00,140.957,141.098,140.955,141.079,312,19,0
2024-01-02 01:50:00,141.078,141.102,141.044,141.099,339,19,0
2024-01-02 01:55:00,141.098,141.119,141.093,141.102,280,25,0
2024-01-02 02:00:00,141.102,141.128,141.088,141.099,296,19,0
2024-01-02 02:05:00,141.099,141.158,141.098,141.133,233,22,0
2024-01-02 02:10:00,141.133,141.164,141.118,141.159,142,22,0
2024-01-02 02:15:00,141.161,141.253,141.145,141.248,231,21,0
2024-01-02 02:20:00,141.248,141.322,141.245,141.314,289,19,0
2024-01-02 02:25:00,141.314,141.371,141.281,141.297,363,19,0
2024-01-02 02:30:00,141.305,141.322,141.244,141.252,255,19,0
2024-01-02 02:35:00,141.251,141.285,141.225,141.278,200,20,0
2024-01-02 02:40:00,141.278,141.28,141.232,141.266,208,23,0
2024-01-02 02:45:00,141.266,141.29,141.199,141.216,276,21,0
2024-01-02 02:50:00,141.217,141.252,141.184,141.192,262,22,0
2024-01-02 02:55:00,141.192,141.192,141.128,141.131,346,19,0
2024-01-02 03:00:00,141.132,141.237,141.131,141.205,422,19,0
2024-01-02 03:05:00,141.206,141.214,141.141,141.186,419,22,0
2024-01-02 03:10:00,141.187,141.238,141.176,141.235,323,19,0
2024-01-02 03:15:00,141.233,141.239,141.197,141.206,312,23,0
2024-01-02 03:20:00,141.205,141.299,141.205,141.288,197,22,0
2024-01-02 03:25:00,141.289,141.337,141.262,141.323,289,22,0
